firstLineQuartile,multiplicador,nQuartile,periodBB,secondLineQuartile,stopLoss,tradeReversion,tradeTrend,dd_perc,sharpe,pnl_total,sqn,profit_factor,trades,win_ratio
0.0,3.0,7.0,9.0,1.0,1.0,0.0,1.0,,,,,,,
,,,,,,,,82.67842734615189,-1.4012556776351373,-81578.92484998048,-3.8412696146500807,0.20976704772450333,30.0,0.1
