,firstLineQuartile,multiplicador,nQuartile,periodBB,secondLineQuartile,stopLoss,tradeReversion,tradeTrend,dd_perc,sharpe,pnl_total,sqn,profit_factor,trades,win_ratio
0,0.0,3.0,6.0,9.0,1.0,1.0,0.0,1.0,,,,,,,
1,,,,,,,,,108.90410198214819,0.19437185655856432,-79147.86826523427,-1.5512683036863186,0.46123898843110384,37.0,0.16216216216216217
