filename,atrDist,atrPeriod,periodHilo,periodMe1,periodMe2,periodSignal,stopLoss,dd_perc,sharpe,pnl_total,sqn,profit_factor,trades,win_ratio
1_result,3,63,20,12,26,9,0,27.58601355695385,0.5661263242515041,242501.6870863116,1.698164290657035,1.746358883902882,113,0.3982300884955752
8_result,3,63,31,12,26,9,0,29.875738140959868,0.6843683929789917,234533.6094141335,1.6517871965660988,1.793458534794052,95,0.4210526315789473
3_result,3,63,32,12,26,9,0,27.849860404935928,0.7886783400706565,285139.7503176069,1.8214548349663824,2.027582593993864,90,0.4222222222222222
5_result,3,63,33,12,26,9,0,30.09080648895609,0.7676284402659104,264071.6624468269,1.6693365734996224,1.9058018090906752,89,0.4044943820224719
7_result,3,63,22,12,26,9,0,31.34140301259312,0.5444840005319934,200043.6271196835,1.4221281063726043,1.6022140803229432,112,0.3839285714285714
6_result,3,63,28,12,26,9,0,30.471156961262825,0.7236149172556646,236483.22875103485,1.6452351348417429,1.766834308421005,99,0.404040404040404
4_result,3,63,26,12,26,9,0,26.79530284926137,0.6244070613387283,217917.255217758,1.506962593659985,1.6594109999730942,106,0.3867924528301887
9_result,3,63,29,12,26,9,0,31.188654730747825,0.6911403526980769,234039.1866262276,1.6150825977366805,1.7643640528368227,97,0.4123711340206185
2_result,3,63,21,12,26,9,0,28.819119163453703,0.540294864384034,229951.2793101875,1.5976793590898228,1.7061757259508603,112,0.3928571428571428
10_result,3,63,35,12,26,9,0,34.42849926392296,0.7456855041420472,307538.56721390603,1.7513651100616523,2.0316894549777347,85,0.3764705882352941
