date,amount,price,sid,symbol,value
2023-07-01 00:47:06.000000,1,30450.0,0,,-30450.0
2023-07-01 00:48:02.000000,-1,30448.0,0,,30448.0
2023-07-01 00:48:03.000000,1,30449.0,0,,-30449.0
2023-07-01 00:49:02.000000,1,30453.8,0,,-30453.8
2023-07-01 00:49:23.000000,-1,30458.8,0,,30458.8
2023-07-01 00:50:02.000000,1,30463.0,0,,-30463.0
2023-07-01 00:50:03.000000,-1,30460.8,0,,30460.8
2023-07-01 00:51:02.000000,1,30457.9,0,,-30457.9
2023-07-01 00:51:31.000000,-1,30463.6,0,,30463.6
2023-07-01 00:52:02.000000,1,30462.0,0,,-30462.0
2023-07-01 00:52:10.000000,-1,30459.0,0,,30459.0
2023-07-01 00:53:21.000000,1,30466.0,0,,-30466.0
2023-07-01 00:53:27.000000,-1,30462.0,0,,30462.0
2023-07-01 00:54:02.000000,-1,30465.9,0,,30465.9
2023-07-01 00:54:03.000000,1,30465.9,0,,-30465.9
2023-07-01 00:55:02.000000,1,30469.9,0,,-30469.9
2023-07-01 00:55:08.000000,-1,30464.7,0,,30464.7
2023-07-01 00:56:02.000000,1,30458.9,0,,-30458.9
2023-07-01 00:56:10.000000,-1,30457.1,0,,30457.1
2023-07-01 00:57:02.000000,-1,30448.0,0,,30448.0
2023-07-01 00:57:26.000000,1,30449.1,0,,-30449.1
2023-07-01 00:58:02.000000,1,30449.1,0,,-30449.1
2023-07-01 00:58:18.000000,-1,30447.4,0,,30447.4
2023-07-01 00:59:02.000000,1,30458.6,0,,-30458.6
2023-07-01 00:59:54.000000,-1,30456.0,0,,30456.0
2023-07-01 01:00:02.000000,1,30456.0,0,,-30456.0
2023-07-01 01:00:06.000000,-1,30452.2,0,,30452.2
2023-07-01 01:01:02.000000,-1,30453.6,0,,30453.6
2023-07-01 01:01:13.000000,1,30446.5,0,,-30446.5
2023-07-01 01:02:02.000000,1,30464.5,0,,-30464.5
2023-07-01 01:02:11.000000,-1,30462.0,0,,30462.0
2023-07-01 01:03:02.000000,1,30456.9,0,,-30456.9
2023-07-01 01:03:12.000000,-1,30454.2,0,,30454.2
2023-07-01 01:04:02.000000,1,30457.9,0,,-30457.9
2023-07-01 01:04:03.000000,-1,30456.0,0,,30456.0
2023-07-01 01:05:02.000000,1,30436.5,0,,-30436.5
2023-07-01 01:05:11.000000,-1,30434.6,0,,30434.6
2023-07-01 01:06:02.000000,-1,30433.9,0,,30433.9
2023-07-01 01:06:54.000000,1,30428.1,0,,-30428.1
2023-07-01 01:08:02.000000,-1,30397.0,0,,30397.0
2023-07-01 01:08:06.000000,1,30398.9,0,,-30398.9
2023-07-01 01:09:02.000000,1,30406.8,0,,-30406.8
2023-07-01 01:09:14.000000,-1,30411.9,0,,30411.9
2023-07-01 01:10:04.000000,-1,30426.9,0,,30426.9
2023-07-01 01:10:05.000000,1,30426.9,0,,-30426.9
2023-07-01 01:11:02.000000,1,30432.8,0,,-30432.8
2023-07-01 01:11:16.000000,-1,30438.8,0,,30438.8
2023-07-01 01:12:02.000000,1,30448.2,0,,-30448.2
2023-07-01 01:12:31.000000,-1,30456.2,0,,30456.2
2023-07-01 01:13:02.000000,1,30459.9,0,,-30459.9
2023-07-01 01:13:05.000000,-1,30457.7,0,,30457.7
2023-07-01 01:14:02.000000,1,30460.7,0,,-30460.7
2023-07-01 01:14:31.000000,-1,30459.0,0,,30459.0
2023-07-01 01:15:02.000000,1,30457.1,0,,-30457.1
2023-07-01 01:15:04.000000,-1,30454.0,0,,30454.0
2023-07-01 01:16:02.000000,-1,30428.3,0,,30428.3
2023-07-01 01:16:06.000000,1,30422.0,0,,-30422.0
2023-07-01 01:16:08.000000,1,30421.0,0,,-30421.0
2023-07-01 01:16:10.000000,-1,30417.7,0,,30417.7
2023-07-01 01:17:02.000000,1,30439.9,0,,-30439.9
2023-07-01 01:17:08.000000,-1,30446.4,0,,30446.4
2023-07-01 01:18:02.000000,1,30399.0,0,,-30399.0
2023-07-01 01:18:03.000000,-1,30399.0,0,,30399.0
2023-07-01 01:19:02.000000,1,30421.8,0,,-30421.8
2023-07-01 01:19:13.000000,-1,30419.0,0,,30419.0
2023-07-01 01:20:55.000000,1,30401.2,0,,-30401.2
2023-07-01 01:20:56.000000,-1,30397.0,0,,30397.0
2023-07-01 01:21:02.000000,-1,30392.0,0,,30392.0
2023-07-01 01:21:08.000000,1,30396.7,0,,-30396.7
2023-07-01 01:22:02.000000,1,30410.9,0,,-30410.9
2023-07-01 01:22:14.000000,-1,30415.9,0,,30415.9
2023-07-01 01:23:02.000000,1,30403.3,0,,-30403.3
2023-07-01 01:23:10.000000,-1,30400.3,0,,30400.3
2023-07-01 01:24:02.000000,-1,30383.9,0,,30383.9
2023-07-01 01:24:03.000000,1,30383.9,0,,-30383.9
2023-07-01 01:26:02.000000,1,30403.0,0,,-30403.0
2023-07-01 01:26:08.000000,-1,30408.0,0,,30408.0
2023-07-01 01:27:02.000000,1,30411.1,0,,-30411.1
2023-07-01 01:27:13.000000,-1,30416.3,0,,30416.3
2023-07-01 01:28:02.000000,1,30410.0,0,,-30410.0
2023-07-01 01:28:04.000000,-1,30415.0,0,,30415.0
2023-07-01 01:29:02.000000,-1,30399.3,0,,30399.3
2023-07-01 01:29:28.000000,1,30401.9,0,,-30401.9
2023-07-01 01:30:02.000000,1,30403.5,0,,-30403.5
2023-07-01 01:30:05.000000,-1,30398.0,0,,30398.0
2023-07-01 01:31:02.000000,1,30407.4,0,,-30407.4
2023-07-01 01:31:07.000000,-1,30405.9,0,,30405.9
2023-07-01 01:32:02.000000,1,30406.7,0,,-30406.7
2023-07-01 01:33:06.000000,-1,30416.2,0,,30416.2
2023-07-01 01:34:02.000000,1,30429.1,0,,-30429.1
2023-07-01 01:34:06.000000,-1,30428.0,0,,30428.0
2023-07-01 01:35:02.000000,1,30429.1,0,,-30429.1
2023-07-01 01:36:32.000000,-1,30427.0,0,,30427.0
2023-07-01 01:37:02.000000,1,30429.9,0,,-30429.9
2023-07-01 01:37:09.000000,-1,30435.9,0,,30435.9
2023-07-01 01:38:02.000000,1,30443.5,0,,-30443.5
2023-07-01 01:38:05.000000,-1,30442.0,0,,30442.0
2023-07-01 01:39:02.000000,1,30441.6,0,,-30441.6
2023-07-01 01:39:28.000000,-1,30438.9,0,,30438.9
2023-07-01 01:40:02.000000,-1,30438.9,0,,30438.9
2023-07-01 01:40:07.000000,1,30432.0,0,,-30432.0
2023-07-01 01:41:02.000000,1,30441.1,0,,-30441.1
2023-07-01 01:44:02.000000,-2,30444.0,0,,60888.0
2023-07-01 01:44:25.000000,1,30438.0,0,,-30438.0
2023-07-01 01:46:02.000000,-1,30431.9,0,,30431.9
2023-07-01 01:47:16.000000,1,30433.9,0,,-30433.9
2023-07-01 01:48:02.000000,1,30434.0,0,,-30434.0
2023-07-01 01:48:50.000000,-1,30428.5,0,,30428.5
2023-07-01 01:49:02.000000,1,30435.1,0,,-30435.1
2023-07-01 01:49:12.000000,-1,30431.7,0,,30431.7
2023-07-01 01:50:02.000000,1,30429.9,0,,-30429.9
2023-07-01 01:51:41.000000,-1,30423.4,0,,30423.4
2023-07-01 01:52:02.000000,1,30422.8,0,,-30422.8
2023-07-01 01:53:39.000000,-1,30420.0,0,,30420.0
2023-07-01 01:54:02.000000,1,30418.0,0,,-30418.0
2023-07-01 01:55:02.000000,-1,30416.2,0,,30416.2
2023-07-01 01:56:02.000000,1,30417.9,0,,-30417.9
2023-07-01 01:58:25.000000,-1,30424.9,0,,30424.9
2023-07-01 01:59:02.000000,1,30425.3,0,,-30425.3
2023-07-01 02:00:27.000000,-1,30430.7,0,,30430.7
2023-07-01 02:01:02.000000,1,30433.1,0,,-30433.1
2023-07-01 02:01:37.000000,-1,30432.0,0,,30432.0
2023-07-01 02:02:02.000000,1,30414.0,0,,-30414.0
2023-07-01 02:03:26.000000,-1,30419.9,0,,30419.9
2023-07-01 02:04:02.000000,1,30410.4,0,,-30410.4
2023-07-01 02:04:08.000000,-1,30408.0,0,,30408.0
2023-07-01 02:06:02.000000,-1,30403.9,0,,30403.9
2023-07-01 02:06:09.000000,1,30398.9,0,,-30398.9
2023-07-01 02:06:31.000000,1,30386.8,0,,-30386.8
2023-07-01 02:06:32.000000,-1,30384.3,0,,30384.3
2023-07-01 02:07:02.000000,-1,30378.4,0,,30378.4
2023-07-01 02:07:22.000000,1,30380.7,0,,-30380.7
2023-07-01 02:08:02.000000,1,30389.9,0,,-30389.9
2023-07-01 02:08:10.000000,-1,30395.8,0,,30395.8
2023-07-01 02:08:28.000000,-1,30404.3,0,,30404.3
2023-07-01 02:08:29.000000,1,30407.4,0,,-30407.4
2023-07-01 02:09:36.000000,-1,30438.8,0,,30438.8
2023-07-01 02:09:37.000000,1,30438.8,0,,-30438.8
2023-07-01 02:10:02.000000,1,30453.5,0,,-30453.5
2023-07-01 02:10:26.000000,-1,30451.6,0,,30451.6
2023-07-01 02:11:02.000000,1,30449.4,0,,-30449.4
2023-07-01 02:11:04.000000,-1,30446.0,0,,30446.0
2023-07-01 02:12:02.000000,-1,30437.9,0,,30437.9
2023-07-01 02:13:27.000000,1,30440.9,0,,-30440.9
2023-07-01 02:14:02.000000,1,30440.3,0,,-30440.3
2023-07-01 02:15:06.000000,-1,30438.5,0,,30438.5
