Periodo RSI,Periodo BB,Stop Loss,Drawdown %,Sharpe Ratio,Retorno,SQN,Profit Factor,Total Trades,Taxa de acerto
4,200,0.02,39.63600277992339,-0.6827068857359796,-0.22944643898732733,-0.7848891425591604,0.8674891102056804,226,0.17256637168141592
4,200,0.03,42.2918022431094,-1.157116716707582,-0.2590628707544152,-0.8262754946134504,0.8604751426027256,174,0.2471264367816092
4,200,0.04,53.51483324613843,-1.230970996731511,-0.5776451655065745,-1.7649128735804764,0.7143098589698518,145,0.27586206896551724
4,200,0.05,49.54576416975999,-1.3104784590886611,-0.4245311732248342,-1.35128648908201,0.7619271193323117,119,0.35294117647058826
4,200,0.06,50.00270845660478,-1.5593805307651154,-0.4420583148422686,-1.3691493458315838,0.7519783385021238,108,0.39814814814814814
4,200,0.07,47.84953284862892,-1.4338291828016643,-0.42324698352292345,-1.2572376371961567,0.7581237586585405,98,0.4387755102040816
4,200,0.08,47.924067634168416,-1.6245583179503238,-0.4917550158873129,-1.4440999796211291,0.7103610116321011,87,0.4482758620689655
4,200,0.09,50.99719560641387,-1.6184028603244203,-0.5584792758211421,-1.6333562520766718,0.6654582154384674,84,0.47619047619047616
4,200,0.1,45.12307958534898,-1.6467569591367877,-0.3646311335751612,-1.0952048423079614,0.7568372351953012,79,0.5443037974683544
4,200,0.11,45.90730871280139,-1.3540801128637465,-0.3626187681330257,-1.0370139663390525,0.7656731148288027,78,0.5512820512820513
4,200,0.12,53.770304286732205,-1.254421698431804,-0.5069443032128406,-1.4876503629834197,0.6576591472180146,72,0.5416666666666666
4,200,0.13,56.30118933805303,-1.404115295210148,-0.5845278693575761,-1.6625330917825614,0.6225432810245687,71,0.5492957746478874
4,200,0.14,57.858926516491145,-1.5539207868410396,-0.6272432069386519,-1.7395006245779394,0.6030293354819862,74,0.5540540540540541
4,200,0.15,48.697785435403375,-1.601855419628106,-0.43363704479137544,-1.2109338192719652,0.6956172855530369,72,0.5972222222222222
4,200,0.16,43.96301194267653,-1.7651503424262538,-0.33175020053080256,-0.9790195711687444,0.7348027974488358,74,0.5405405405405406
4,200,0.17,47.08850003399891,-2.4671347322481836,-0.44585548610040027,-1.2625446789070163,0.6652021090409469,68,0.5588235294117647
4,200,0.18,47.169410986548606,-2.74737396827701,-0.446994648394065,-1.1982816561673597,0.6791841890155271,70,0.5428571428571428
4,200,0.19,48.04316568309143,-3.0516762111344042,-0.4993348620730965,-1.3015803389415839,0.645090039566123,68,0.5441176470588235
5,200,0.02,38.99472250588554,-0.6746768710774683,-0.2183452686141667,-0.7475029420588107,0.8731904994283561,225,0.17333333333333334
5,200,0.03,41.40458322473379,-1.1811722428167242,-0.24386822067974145,-0.7764520959548314,0.8680103574773723,173,0.24855491329479767
5,200,0.04,53.514833246138416,-1.2291172046010141,-0.5770123324919113,-1.7797267212088257,0.7116098301125606,144,0.2777777777777778
5,200,0.05,49.51722817677067,-1.310963128013182,-0.423965751395657,-1.349636265014286,0.7621770914697492,119,0.35294117647058826
5,200,0.06,50.00270845660478,-1.5610474984458882,-0.4422075870437778,-1.3695280851049232,0.7519211995252448,108,0.39814814814814814
5,200,0.07,47.92196696695866,-1.4413278796015265,-0.4256024098453976,-1.2636145447119722,0.7570435681530557,98,0.4387755102040816
5,200,0.08,47.924067634168416,-1.6245583179503238,-0.4917550158873129,-1.4440999796211291,0.7103610116321011,87,0.4482758620689655
5,200,0.09,50.99719560641387,-1.6184028603244203,-0.5584792758211421,-1.6333562520766718,0.6654582154384674,84,0.47619047619047616
5,200,0.1,45.12307958534898,-1.6467569591367877,-0.3646311335751612,-1.0952048423079614,0.7568372351953012,79,0.5443037974683544
5,200,0.11,45.92620364765824,-1.353884661109148,-0.3629681357691834,-1.0379048084252624,0.7654923990655734,78,0.5512820512820513
5,200,0.12,53.770304286732205,-1.254421698431804,-0.5069443032128406,-1.4876503629834197,0.6576591472180146,72,0.5416666666666666
5,200,0.13,56.30118933805303,-1.404115295210148,-0.5845278693575761,-1.6625330917825614,0.6225432810245687,71,0.5492957746478874
5,200,0.14,57.241499350196584,-1.5716918977497516,-0.612698067982301,-1.696419865975005,0.6116598047182529,74,0.5540540540540541
5,200,0.15,48.29355311736053,-1.6236422086433613,-0.4257884932732314,-1.1964025289524143,0.6972747196935049,70,0.6142857142857143
5,200,0.16,45.67969758229532,-1.639683278504646,-0.3628641236836019,-1.0695681397379881,0.7120493850655998,71,0.5633802816901409
5,200,0.17,46.29067434406139,-2.375611718202632,-0.43088954344131414,-1.215627189451209,0.6762400104938515,68,0.5588235294117647
5,200,0.18,47.169410986548606,-2.74737396827701,-0.446994648394065,-1.1982816561673597,0.6791841890155271,70,0.5428571428571428
5,200,0.19,49.0889498501864,-2.95076016035612,-0.519668131356881,-1.3278039927909895,0.6435631124237988,67,0.5522388059701493
6,200,0.02,38.32249718865243,-0.6210463850115047,-0.20009019374152243,-0.6841129699728262,0.8829294532747407,223,0.17488789237668162
6,200,0.03,41.207851247478544,-1.1454114289355883,-0.2405163808054188,-0.7672255948798596,0.869554347847882,173,0.24855491329479767
6,200,0.04,53.19495976950663,-1.2081035284206376,-0.570154705297595,-1.7627496334412096,0.7143058440098771,144,0.2777777777777778
6,200,0.05,49.51722817677067,-1.310963128013182,-0.423965751395657,-1.349636265014286,0.7621770914697492,119,0.35294117647058826
6,200,0.06,49.65866736597383,-1.5474537644477602,-0.4353499598494613,-1.3498572611766315,0.7551595342063318,108,0.39814814814814814
